id,birthdate
$$$ Jim $$$,1970-01-01
$limChang,1970-01-01
$wift,1970-01-01
*Zen,1970-01-01
+HOPE+,2000-06-01
.jpg,1970-01-01
007,1970-01-01
0mart,1970-01-01
100 Grand,1970-01-01
10QuidShoes,1970-01-01
2Framez,1970-01-01
2ManyCooks,1995-12-15
2saint,1998-04-12
4%,1990-12-24
404Cray,1970-01-01
42nd,1995-06-22
4tilt,1970-01-01
686M,1970-01-01
6WX,1994-04-30
8BitMan,1970-01-01
8Mitsuki,1970-01-01
9B,1970-01-01
A Rookie,1970-01-01
ADHD,1993-01-06
AEMehr,1970-01-01
AIR,1970-01-01
ALP,1996-07-07
ANTi,1994-03-11
ARC,1988-07-01
ARMY,1996-03-13
AT LOWES,1970-01-01
ATATA,1970-01-01
AZ,1970-01-01
Aamer,1997-08-11
Aaron,1998-05-07
Aaron,1970-01-01
Aarvark,1970-01-01
Abadango,1993-08-23
Abate,1989-03-17
AbsentPage,1996-08-25
Ace,1987-11-20
Achilles,1990-01-11
Acke,1970-01-01
Adachi,1970-01-01
Adam,1970-01-01
Adenine,1999-10-30
Adidi,1970-01-01
Admiral,1970-01-01
Adom,1992-04-14
Advo,1970-01-01
Aephage,1994-07-13
Aero,1970-01-01
AeroLink,1970-01-01
Aether,1970-01-01
Afro Smash,1970-01-01
Agito,1970-01-01
Aglet,1970-01-01
Aidan,1970-01-01
Aiken,1970-01-01
Aikota,1970-01-01
Aion,1970-01-01
Aisengobay,1985-06-25
Akakikusu,1970-01-01
Akashic,1970-01-01
Aki,1970-01-01
Aklo,1970-01-01
Akuex,1970-01-01
Alain,1970-01-01
Alan,1970-01-01
AlanDiss,1970-01-01
Albert,1970-01-01
AleX,2003-06-09
Alex19,1970-01-01
Ally,1991-02-04
Alox,1970-01-01
Alpha Dash,1970-01-01
Alphicans,1992-10-23
"Alter, digga",1970-01-01
Alukard,1970-01-01
Alvin,1987-01-15
American Bowser,1970-01-01
Amida,1970-01-01
Amiin,1970-01-01
Amsah,1986-12-23
AnDy,1970-01-01
Anaky,1970-01-01
Anathema,1970-01-01
Ander,1970-01-01
AndresFn,1970-01-01
Andrik,1970-01-01
Android,1970-01-01
Android 0,1970-01-01
Andykins,1970-01-01
Andymosity,1970-01-01
Ang,1970-01-01
Angbad,1970-01-01
Angel Cortes,1994-12-04
Animal,1970-01-01
Aniolas,1970-01-01
Anonymous Moniker,1970-01-01
Anragon,1970-01-01
Anson Leung,1970-01-01
Antheia,1970-01-01
Anther,1970-01-01
Anthony,1970-01-01
Antireflex,1993-12-06
Antvibe8,1995-08-13
Aolego,1970-01-01
Aperture,1970-01-01
Aphro,1970-01-01
ApolloKage,1970-01-01
ApologyMan,1970-01-01
Aposl,1970-01-01
Arch,1970-01-01
Ares,1970-01-01
Arika,1970-01-01
Armada,1993-03-28
Armades,1970-01-01
Armando,1970-01-01
Arsenals,1970-01-01
Arte,1970-01-01
Arty,1970-01-01
Asidyx,1970-01-01
Askeflink,1970-01-01
Asotil,1970-01-01
Atelier,1970-01-01
Athena,1970-01-01
Atlas,1970-01-01
Atomsk,1992-01-28
Aura,1970-01-01
AvengerAngel,1970-01-01
Awestin,1970-01-01
Axarth,1970-01-01
Axe,1991-04-07
Axiom XL,1970-01-01
Ayataka,1970-01-01
Aza,1970-01-01
Azel,1970-01-01
Azen,1986-12-20
Azrael,1970-01-01
Azusa,1970-01-01
Azzu,1970-01-01
B33F,1970-01-01
BAM,1970-01-01
BANG!,1970-01-01
BDE,1970-01-01
BJee,1970-01-01
BONK!,1999-04-01
BT.YAMATO,1970-01-01
BZimm,1970-01-01
Ba$$,1970-01-01
Bab Activated,1970-01-01
Babich,1970-01-01
BaconPancakes,1970-01-01
Badnight,1995-03-28
Badr,1992-12-29
Baku,1970-01-01
Bam,1970-01-01
Banana Boy,1970-01-01
Bananas,1998-03-30
Banano,1970-01-01
Bank,1970-01-01
Bankai,1970-01-01
Banze,1987-04-11
BarDulL,1990-08-27
Bard,1970-01-01
Baron Brody,1970-01-01
Barraca,1970-01-01
BassMage,1970-01-01
Battlecow,1970-01-01
Baxon,1989-02-16
Baz,1970-01-01
Bbatts,1970-01-01
BeJay,1970-01-01
BeLia,1970-01-01
Beast,1970-01-01
Beat,1993-10-09
Beau,1970-01-01
Bedgar,1970-01-01
Beek,1970-01-01
Beerman,1970-01-01
Bees,1970-01-01
Beji,1970-01-01
Ben,1970-01-01
Ben Gold,1970-01-01
Benny&TheJets,1970-01-01
Berble,1999-04-05
Bernie,1970-01-01
Berto,1970-01-01
Best Taco,1970-01-01
Bico,1970-01-01
Biddy,1970-01-01
Big D,1970-01-01
BigBoss,1970-01-01
Bilibo,1970-01-01
Bimbo Mexico,1970-01-01
Biscuit,1970-01-01
Bitou,1970-01-01
Bizzarro Flame,1970-01-01
Black Yoshi,1970-01-01
Blacktwins13,1994-10-27
Bladewise,1986-08-24
Blake Grey,1970-01-01
Blank,2000-01-10
Blank,1970-01-01
Blassy,1995-09-29
Blaze,1970-01-01
BlazingPasta,1970-01-01
Blea Gelo,1989-12-15
Blondekid,1970-01-01
Bloodcross,1970-01-01
Bloodpeach,1970-01-01
Bloom4Eva,1970-01-01
BluB,1970-01-01
BluStriker,1970-01-01
Blue,1970-01-01
Blue Jay,1970-01-01
BlueFoxXT,1970-01-01
Blues Clues,1970-01-01
Bluesky,1970-01-01
Blunted_Object10,1990-05-06
Bob$,1970-01-01
Bob-omb,1970-01-01
Boback,1970-01-01
Bobby Frizz,1970-01-01
Bobesco,1989-01-20
Bobi,1970-01-01
Bobo,1970-01-01
Boiko,1970-01-01
Bomboni,1970-01-01
Bombsoldier,1970-01-01
Bones,1970-01-01
Bongo,1970-01-01
BonkCushy,1970-01-01
BooBear,1997-04-21
Boomuki,1970-01-01
Boringman,1970-01-01
Borp,1970-01-01
Bose,1970-01-01
Boss,1989-11-01
Boulevard,1970-01-01
Boyd,1970-01-01
BrTarolg,1970-01-01
Brog,1970-01-01
Brood,1970-01-01
Brosinex,1999-02-14
Bryce,2000-08-16
BseeD,1970-01-01
Bubbles,1970-01-01
Bubbles,1970-01-01
Bulby,1970-01-01
Bum,1970-01-01
Bungwipe,1970-01-01
Bushi,1970-01-01
Bushihunzi,1970-01-01
BËst,1970-01-01
C#,1970-01-01
C. Rabbit,1970-01-01
C.Kaleb,1970-01-01
C.R.Z,1970-01-01
C3PO,1970-01-01
CAUP,1970-01-01
CC,1970-01-01
CHEN,1970-01-01
CIZ,1970-01-01
CPU0,1970-01-01
CTG,1970-01-01
Ca$ino Wolf,1970-01-01
CabeLo,1991-08-16
Cacogen,1970-01-01
Cactuar,1987-08-06
Cafe,1970-01-01
Cagt,1970-01-01
Cala,1970-01-01
Calle W,1992-02-12
Calvin,1970-01-01
Camtwo,1999-05-07
Cantus,1970-01-01
Capitancito,1970-01-01
Captain Birdman,1970-01-01
Captain G,1970-01-01
Captain Jack,1985-01-23
Captain L,1970-01-01
Captain Pretzel,1970-01-01
Captain Smuckers,1970-01-01
Captain Tavo,1970-01-01
CaptainZack,2001-10-26
Cashmere,1970-01-01
Casper,1970-01-01
Cat,1995-02-13
Catch Bendit,1970-01-01
CauthonLuck,1983-11-27
Cava,1986-10-25
Caveman,1986-02-03
Chaddd,1970-01-01
Chag,1970-01-01
Chango,1970-01-01
Chansey,1970-01-01
Chanshu,1970-01-01
Chaos6,1970-01-01
Chape,1970-01-01
Charby,1970-01-01
Charles,1970-01-01
Charliedaking,2000-03-09
Charlon,1970-01-01
Charon,1970-01-01
Chaud,1970-01-01
Cheeks,1997-05-12
Chef Rach,1970-01-01
Chelly,1994-07-25
Chem,1970-01-01
ChemX,1994-04-03
Chevy,1970-01-01
Chia,1988-08-30
Chief,1970-01-01
Child,1970-01-01
Chillindude,1989-08-29
ChillyChilli,1970-01-01
Chinesah,1970-01-01
ChinoMx,1970-01-01
Chirou,1970-01-01
Choco,1988-10-29
ChocoTaco,1970-01-01
Chomo,2002-03-18
Chrim Foish,1970-01-01
ChuDat,1987-01-16
Churze,1970-01-01
Cigotoast,1970-01-01
Cillit,1970-01-01
Clade,1970-01-01
ClemJ,1970-01-01
Clemens,1970-01-01
Clementine,2003-05-20
Cloudburst,1970-01-01
Cloudy,1995-09-14
Clubbadubba,1970-01-01
Clutch,1970-01-01
Cob,1970-01-01
Cobrevolution,1970-01-01
Cody,1970-01-01
Coen,1970-01-01
Coffeeblack,1970-01-01
Coki,1970-01-01
Colbol,1993-07-25
Comb,1970-01-01
Combo Blaze,1970-01-01
Commander,1996-05-10
Commander Kune,1996-08-13
Compact,1970-01-01
Coney,1988-09-03
Conman,1970-01-01
Connor,1994-03-10
Connor,1970-01-01
Cool Lime,1970-01-01
Coolkid,1970-01-01
Corazón,1970-01-01
Cort,1988-01-14
Cosmos,1998-08-31
Craftis,1970-01-01
Crash,1970-01-01
Crogo,1970-01-01
Crunch,1970-01-01
Crush,1970-01-01
CurryGovernor,1970-01-01
Cyr,1970-01-01
Cyrain,1989-01-26
Cyro,2000-11-06
Czar,1970-01-01
D.Disciple,1989-01-31
D1,1986-03-04
D35,1970-01-01
DD,2002-06-24
DD,1970-01-01
DG,1970-01-01
DIO,1970-01-01
DJ Jack,1970-01-01
DJ Nintendo,1985-05-17
DKbill,1997-05-12
DKwill,1970-01-01
DM,1970-01-01
DOGG,1970-01-01
DRN,1970-01-01
DSF,1984-07-03
DSS,1970-01-01
DTan,1970-01-01
Da Bear,1970-01-01
Da-yoshi,1970-01-01
DaLung,1970-01-01
DaShizWiz,1990-12-07
Dabuz,1993-08-07
Dacky,1970-01-01
DairDev1L,1970-01-01
Daisuki,1970-01-01
Dajjal,1970-01-01
Damian Tyson,1970-01-01
Damo,1970-01-01
Dan Salvato,1970-01-01
DanTheMan,1970-01-01
Danadan,1970-01-01
Dandy Penguin,1970-01-01
Daniel,1970-01-01
Dank,1970-01-01
Dannckles,1970-01-01
DannyPhantom,1970-01-01
Danubi,1970-01-01
Danye,1970-01-01
Dapuffster,1992-04-09
Darc,1989-08-28
Dark,1970-01-01
Dark Wizzy,2000-01-24
DarkAura,1970-01-01
DarkGenex,1970-01-01
DarkShad,1998-10-20
DarkThunder,1998-09-29
Darkatma,1990-07-23
Darkhorse,1986-12-11
Darko,1970-01-01
Darkrain,1987-08-06
Darktooth,1970-01-01
Darrell,1970-01-01
Dart!,1970-01-01
Darth,1970-01-01
Darx,1970-01-01
Dash,1970-01-01
Dath,1992-06-22
Datto,1970-01-01
Davox,1970-01-01
Dawson,1970-01-01
Day,1970-01-01
Daybreak,2001-05-02
Daydee,1993-12-11
DeCoste in the Shell,1970-01-01
DeLux,1970-01-01
Deathgazer,1990-10-31
Deci,1970-01-01
DeepFreeze,1970-01-01
Dekar,1970-01-01
Deluxemenu,1970-01-01
Den,1970-01-01
Denti,1970-01-01
Deon,1970-01-01
Dero,1970-01-01
Destany,1999-09-14
Dev,1970-01-01
Devastation,1970-01-01
Dext3r,1970-01-01
Dexter,1970-01-01
DiZ,1970-01-01
Dia,1970-01-01
Diabeo,1970-01-01
Diablo,1996-11-30
Dill,1970-01-01
Dimension,1970-01-01
Dimichi,1970-01-01
Din,1970-01-01
Dinamirer,1970-01-01
Dindon Masqué,1970-01-01
DineAuZor,1970-01-01
Dingo,1970-01-01
Dingus Joe,1999-06-10
Dirtboy,1970-01-01
Dishier Wand,1997-12-29
DjaGoF,1970-01-01
DoH,1987-12-16
DoYoung2Win,1970-01-01
Dobby,1970-01-01
Doctor A Ness,1970-01-01
Dogs_Johnson,1970-01-01
Dojo,1970-01-01
Dom,1970-01-01
Dom,1970-01-01
DonB,1970-01-01
Donquavious,1970-01-01
Doomblaze,1970-01-01
Doorstop,1970-01-01
Dope,1985-04-30
Dope,1970-01-01
Doraki,1970-01-01
Dos,1970-01-01
DoubleA,1970-01-01
Dr.,1970-01-01
Dr. Z,1982-09-18
DrLobster,1970-01-01
Dragon,1970-01-01
Dragoomba,1970-01-01
Dream,1970-01-01
Drephen,1985-12-12
DrinkingFood,1970-01-01
Droopy,1970-01-01
Drugfreechu,1999-03-24
Druggedfox,1970-01-01
Drunk Sloth,1993-05-12
Duck,1991-11-25
Dumshiny,1970-01-01
Dunk,1970-01-01
Dunkmaster Ragna,1970-01-01
DynaStyle,1970-01-01
Dynamo,1970-01-01
Däumling,1991-08-07
E-tie,1970-01-01
EE,1970-01-01
EG,1970-01-01
EKING,1970-01-01
ESAM,1992-11-17
EVERYBODYPOOPS,1970-01-01
Eagle,1970-01-01
EarlofM,1970-01-01
Earth,1970-01-01
EastCoastJeff,1970-01-01
Eddie,1979-04-16
Eddy,1970-01-01
Eddy Mexico,1970-01-01
Eekim,1970-01-01
Eggm,1970-01-01
Eggy,1970-01-01
Eggz,1990-10-22
Eidolon,1970-01-01
Eikelmann,1992-09-07
Eim,1970-01-01
El Shroomo,1970-01-01
El_Bardo,1970-01-01
El_Pitikla,1970-01-01
Eldigan,1970-01-01
Elegant,1998-11-07
Elexiao,1970-01-01
Elliot,1970-01-01
Ellipsis,1970-01-01
EmmiZhang,1991-10-15
Emp,1970-01-01
Enig,1970-01-01
Enki,1970-01-01
Enn,1970-01-01
Envy,1970-01-01
Enzo,2000-01-14
EnzoGulity,1970-01-01
Eon,2001-01-20
Epic Murloc,1970-01-01
Epic_Gabriel,1970-01-01
Epikfaal,1970-01-01
Escurridizo,1995-02-09
Espeon•CH,1970-01-01
Espi,1970-01-01
Etril,1970-01-01
Etsuji,1970-01-01
EuO,1970-01-01
Excel_Zero,1970-01-01
Exile,1994-03-27
Exodia,1996-09-23
Explo,1970-01-01
Extra,1994-08-16
F-A-!-A,1970-01-01
FA0,1970-01-01
FAUST,1970-01-01
FLiiNcHy,1970-01-01
FMB5K,1970-01-01
FOW,1995-07-20
FROOT,1970-01-01
FSharp,1970-01-01
Faab,1970-01-01
Fable,1970-01-01
Fake,1970-01-01
Falpan,1970-01-01
False,1970-01-01
Fat Tino,1970-01-01
FatGoku,1970-01-01
Fatality,1994-08-07
Fatman.spam,1970-01-01
Fauster,1990-08-28
Fck Vwls,1970-01-01
Fearless,1994-08-31
Fekah,1970-01-01
Felker,1970-01-01
Fendrick Lamar,1970-01-01
Feradit,1970-01-01
Fess,1970-01-01
Fiction,1970-01-01
Figy,1970-01-01
Filthy Casual,1970-01-01
Finio,1970-01-01
Fire,1970-01-01
Fireblaster,1988-11-12
Firefly,1970-01-01
FireflyHI,1970-01-01
Firehao,1970-01-01
Firo,1970-01-01
Fishbait,1970-01-01
Fizz,1970-01-01
Fizzi,1970-01-01
Fizzle_Boy,1970-01-01
Flash,1970-01-01
Flash,1970-01-01
FlashingFire,1970-01-01
Flikkflakk,1989-10-03
Flipp,1993-09-27
Flippy,1970-01-01
Flipsy,1970-01-01
Floimar,1970-01-01
Flow,1996-09-20
Fluid,1970-01-01
Fly Amanita,1970-01-01
Focus,1994-10-27
ForTseKe,1970-01-01
Fork,1970-01-01
Forrest,1970-01-01
Forward,1987-07-12
Fout NL,1970-01-01
Foxy Grandpa,1970-01-01
Franz,1970-01-01
Frawg,1970-01-01
Free Palestine,1970-01-01
Freean,1970-01-01
Freekleef,1996-01-26
Freetox_,1970-01-01
Frenzy,1970-01-01
Frido,1970-01-01
Frieddo,1970-01-01
Friso,1970-01-01
Frootloop,1970-01-01
Frostbyte,1970-01-01
Frosty,1970-01-01
Frozen,1970-01-01
Frycook,1970-01-01
Fskin,1970-01-01
Fukurou,1970-01-01
FullStream,1970-01-01
Funya~n,1970-01-01
Futsuka-miman,1970-01-01
Fuwa,1970-01-01
Fuzz,1994-08-17
Fuzzyness,1989-10-10
Fwed,1970-01-01
G$,1970-01-01
G-danzee,1970-01-01
GAwes,1970-01-01
GG,1970-01-01
GI0GOAT,1970-01-01
Gabe,1970-01-01
Gackt,1970-01-01
Gahtzu,1993-04-25
Galan,1970-01-01
Gallo,1970-01-01
Gameboyjr,1970-01-01
Ganondorf,1970-01-01
Gardex,1970-01-01
Garrote,1998-05-21
GaussBet,1970-01-01
Gen,1970-01-01
Genarog,1970-01-01
Genghis Connor,1998-01-27
Genialo,1970-01-01
Geova,1970-01-01
Germ,1970-01-01
Gerson,1970-01-01
Ghost,1970-01-01
GimR,1989-09-24
Gimpyfish,1970-01-01
Ginger,1995-04-30
Gino,1970-01-01
Glaikit,1970-01-01
Glitch,1970-01-01
Glitter,1970-01-01
Glutonny,1995-06-01
Gnes,1989-01-27
Goblin,1970-01-01
God with a Wavebird,1970-01-01
GodTouch,1970-01-01
Godzrage,1989-06-10
Gohan,1970-01-01
Gomakenpi,1970-01-01
Gomamugitya,1970-01-01
Goode,1970-01-01
Goof,1998-10-01
Googleyeyed,1970-01-01
Gooms,1970-01-01
Goomy,1970-01-01
Goose,1970-01-01
Gpik,1970-01-01
Gr4pe,2000-07-26
Grab,1970-01-01
Grade,1970-01-01
GranmasGotGame,1970-01-01
Grape,2001-11-05
Gravy,1970-01-01
Grayson,2001-02-02
Green Ranger,1991-11-17
GreenBeast,1996-06-20
Greginator,1970-01-01
Gregs,1970-01-01
Greil,1996-04-09
Greno,1970-01-01
Greward,1970-01-01
GrimTurtle,1970-01-01
Grove,1970-01-01
Grzly,1970-01-01
Guasausky,1970-01-01
Gucci,1970-01-01
Gulbutron,1970-01-01
Gungnir,1970-01-01
Gunnermaniac,1970-01-01
HAMMERHEART,1970-01-01
HERO,1970-01-01
HIDE,1970-01-01
HIKARU,1970-01-01
HP,1970-01-01
Hackoru,1970-01-01
Haha,1970-01-01
Haipe,1997-07-05
HammerTime,1970-01-01
Han Solo,1970-01-01
HandsomeTom,1970-01-01
Hanky Panky,1970-01-01
Hao,1970-01-01
Happymealz,1970-01-01
Harasen,1970-01-01
Harriet,1970-01-01
Harry Pogger,1970-01-01
Hassan,1970-01-01
Hawk,1970-01-01
Hax,1994-05-07
Hayato.,1970-01-01
Hazzard,1970-01-01
Heartstrings,1970-01-01
Hebiichigo,1970-01-01
Heck,1970-01-01
Hedgeon,1970-01-01
Hello,1970-01-01
Hendrix,1970-01-01
Hero Pie,1970-01-01
Hero of Time,1970-01-01
Herrán,1970-01-01
Heru,1970-01-01
HiFi,1970-01-01
Hibuto,2002-10-08
Hinkage,1970-01-01
Hirschulat,1996-12-18
Hitoshio,1970-01-01
Hiyo,1970-01-01
Ho,1970-01-01
Holiday,1999-03-07
Holy,1970-01-01
Holy,1970-01-01
HomeMadeWaffles,1990-05-09
Homika,1970-01-01
Hondo,1970-01-01
Honk,1970-01-01
HoorayForJay,1970-01-01
Horbie,1970-01-01
Hoss Delgado,1970-01-01
Hotline,1970-01-01
HugS,1986-01-21
Hungrybox,1993-06-21
Hunybear,1970-01-01
Husband,1970-01-01
HyperFlame,1996-09-13
Hyprid,1970-01-01
Hyuga,1992-07-23
IB,1970-01-01
IC,1993-03-08
Ice,1991-07-01
Iceman,1970-01-01
IcyMist,1970-01-01
Idea,1970-01-01
Ignis,1970-01-01
Iifter,1970-01-01
ImHip,1970-01-01
ImperfeCt,1970-01-01
Infinite Numbers,1970-01-01
Infinity,1970-01-01
Insie,1970-01-01
Inter,1970-01-01
Iori,1970-01-01
Iota,1997-04-16
Irnel,1970-01-01
Irregular Jinny,1970-01-01
