pagename,birthdate
0bi,1989-02-04
0ng0wa,1994-10-20
10K,1970-01-01
10X,1997-06-25
1mpala,1999-02-27
1ukey,1970-01-01
2geMonstah,1970-01-01
2zzy,1970-01-01
3nable,1970-01-01
4pack,1970-01-01
4qu1la,1970-01-01
6sonya,1996-12-20
7Teen,1970-01-01
7ssk7,1999-02-26
813,1990-08-13
9999,1996-01-08
9room,1970-01-01
aKUMAAAAA,2001-06-30
aLIVE,1970-01-01
aNDROID,1994-05-26
aNGE1,1989-09-10
aNS,2000-02-04
aPO,1996-09-28
aRIANARCHIST,1970-01-01
aTTACKER1,1997-09-11
aVRL,1970-01-01
aYRIN,1996-04-04
aZK,1991-03-25
aakRR,1970-01-01
abo,1970-01-01
ace,1970-01-01
acerola,1998-05-22
acetics,2001-05-08
achilios,1970-01-01
adamelo,1970-01-01
add3r,1970-01-01
addicted,1996-06-08
agnes,2001-09-25
aiko,1970-01-01
ajMERiTO,1970-01-01
akashi,1995-03-12
aku,1998-02-07
akula,1999-05-10
ale,2002-10-12
alejo,1970-01-01
alex_(Bulgarian_player),1999-05-11
alikea,1970-01-01
alluka,1970-01-01
alone,2000-07-16
amaterasu,1970-01-01
ambi,1970-01-01
amilwa,1970-01-01
anaks,1994-12-02
andersin,1970-01-01
anderzz,1992-08-17
andrewchl,1970-01-01
ange,1970-01-01
aniemal,1970-01-01
anishared,1999-10-29
anjK,1998-01-01
annie,1996-11-16
anthony,1970-01-01
antiBiotique,1970-01-01
antidote,1996-06-08
apex,1970-01-01
pEjStv/Apollo,1970-01-01
apotheon,2003-01-15
ar4n,1970-01-01
argency,1991-10-08
aricune,2000-11-11
aron,1997-01-15
art1st,2000-01-03
arthas,1970-01-01
artstaR,1995-06-01
asLanM4shadoW,1994-04-21
asSen,1970-01-01
askJoshy,1986-05-25
aska,1970-01-01
aslaN,1997-05-07
astell,1998-01-23
asuna,2003-07-26
asurai,1970-01-01
athena,1970-01-01
atom,1970-01-01
attention,1998-09-10
austinIRL,1999-03-30
autumn,1970-01-01
avahir,1970-01-01
averageJonas,1989-08-20
avovA,1998-11-05
awkua,1970-01-01
ayaaa,1970-01-01
ayke,2001-08-29
ayumiii,1970-01-01
aztKk,1997-06-14
b1SK,2000-09-28
b2,2002-08-09
b4HA,1970-01-01
bARBAROSSA,1970-01-01
bARBARR,1990-03-28
bEAR,1970-01-01
bEAST,1995-04-25
bELKY,1970-01-01
bINBON,1970-01-01
bLD,1992-02-14
bLU,1995-03-20
bONECOLD,1970-01-01
bOOMBURAPA,1994-06-21
bORKUM,1996-04-18
bRANTED,1996-12-08
bRAVEAFb0Y,1970-01-01
bRNWOWZK1,1998-07-31
bRUCLON,1970-01-01
babyJ,1998-09-11
badgal,1970-01-01
badmaN,1996-01-21
baez,1970-01-01
ballatw,1970-01-01
banKs,1990-05-13
bandiCoot,2001-05-10
bankroft,1970-01-01
barcode,1999-06-04
bazy,1992-07-17
bazzi,1999-03-24
bcJ,2000-07-04
beTony,1984-11-14
bella_Heartfire,1970-01-01
benkai,1996-11-10
bennY,1970-01-01
berLIN,2004-04-19
berghy,1970-01-01
berserx,1970-01-01
betrayerN,2001-07-05
bewd,1970-01-01
bgg,1970-01-01
biDa,1991-02-21
bigas,1970-01-01
binks,1970-01-01
bird,1995-01-27
biscoit1n,1970-01-01
bjor,2001-01-12
blackenBlue,1970-01-01
blank,1996-10-06
blank_(American_coach),1970-01-01
boAx,1991-01-28
boaster,1995-05-25
bob,1970-01-01
boggs,1970-01-01
boo,1970-01-01
boommmm,1970-01-01
boostio,2000-11-14
br0die,1999-03-04
brando,1970-01-01
brasco,2003-08-06
brave,2003-09-10
bredel,1970-01-01
brofeld,1970-01-01
bromas,1970-01-01
buZz,2003-01-13
buld,1970-01-01
bunny,1998-04-14
bunny_(Chae_Joon-hyuk),1998-05-15
busterrr,1970-01-01
c0M,1970-01-01
c1nder,1999-04-16
cAD3N,1970-01-01
cLZ,2002-01-27
cOLDFISH,1970-01-01
cP2,1970-01-01
cREA,1997-02-19
cTC,1970-01-01
cactus,2000-11-26
caint,1998-01-29
caky,1998-09-13
calmly,1997-11-07
campion,1970-01-01
capi,1995-09-25
carcass,1995-06-20
carlee,1970-01-01
carlão,1970-01-01
carry,1970-01-01
caz,1995-09-27
chAlalala,1970-01-01
chainyz,1970-01-01
cham,1970-01-01
chechuu,2000-02-14
chet_(American_coach),1996-09-08
chibab,1998-05-11
ching,2000-11-22
chloe,1970-01-01
choboMe,1970-01-01
chronicle,2002-08-16
chu,1970-01-01
church,1997-09-06
churmZ,1970-01-01
ciko,1970-01-01
circle5,1970-01-01
cla,1970-01-01
clarenz,1970-01-01
clawdia,1970-01-01
clefairy,1970-01-01
closer,1994-10-19
cloud,2003-10-10
coSa,1970-01-01
coffee,2000-02-11
coleUP,1970-01-01
complex,2003-07-27
conir,1970-01-01
conky,1993-03-19
corsario,1970-01-01
crayZ,1999-07-28
crazyface,1999-11-26
critical,2002-10-28
crunchy,1970-01-01
crws,1970-01-01
cryocells,1970-01-01
cryy,1970-01-01
cuaj,1970-01-01
cyderX,1970-01-01
d1E,1970-01-01
d4ve2k,2002-08-31
dEATHMAKER,1998-06-11
dENYA,1997-05-29
dESTRUCT1VEE,1970-01-01
dPS,1997-04-06
dVDOV,1999-06-30
dXN,1993-08-24
daZeD,1989-09-27
daa,1970-01-01
daicute,2002-10-26
daks,1970-01-01
danielesflo,2002-07-29
darKkKy,2002-01-16
darfMike,1993-12-31
darkkis,1991-11-20
darkzero,1992-03-19
darrick,1970-01-01
dash_(American_caster),1991-04-04
daveeys,2000-09-02
david_Denis,1970-01-01
davidp,1994-09-08
davsa,1998-10-07
daykiry,1999-11-06
dazedDreams,1970-01-01
dazlly,1970-01-01
dcop,1998-07-27
deNaro,1970-01-01
deadFox,1995-02-15
deadInk,1970-01-01
deman,1977-08-27
dep,2000-12-04
depyro,2003-10-30
derialy,2003-01-10
derke,2003-02-06
derrek,1970-01-01
destrian,1970-01-01
dext,2004-02-24
dhimoruto,1970-01-01
diGeDoG,1997-07-22
diMAS,1970-01-01
dickStacy,1997-04-16
dimaoneshot,1995-01-27
dingception,1989-09-23
dispenser,1970-01-01
doYa,2000-05-26
dobsha,2000-12-15
doffee,1970-01-01
dogor,1997-02-03
doma,2003-07-29
dracon,2000-04-19
draven,1970-01-01
dream_(American_coach),1993-01-19
dreamas,1998-11-23
drk,1998-05-27
ds,1997-11-22
dsK,1970-01-01
dubbin,1970-01-01
dubsteP,1992-09-21
ducT,2000-07-20
ducky,1992-06-13
duno,1997-05-15
dutch,1970-01-01
e5N,1995-08-11
eMUHLEET,1991-01-05
eNTRIL,1999-03-13
ease,2003-08-25
eazy,1970-01-01
edelweiss,1997-09-09
ediT99,1998-04-10
eeyore,1995-02-18
efina,2001-05-27
egoist,1970-01-01
eiritel,1998-05-05
eisberg,1970-01-01
elevate,1970-01-01
eley,1990-11-27
ellieTwitches,1997-06-15
elmapuddy,1970-01-01
emash,1970-01-01
embo,1970-01-01
emman,1970-01-01
engh,1993-01-13
epicOff,1970-01-01
eraser,1997-03-27
esperanza,2001-08-17
esportsDoug,1990-03-01
esther,1995-06-29
ethan,2000-03-02
eugene,2000-06-24
evelyn_Mackus,1970-01-01
evilkyk,1970-01-01
ex6TenZ,1990-04-30
exalt,2000-02-15
excali,1997-08-30
exterminia,1996-07-16
ezzy,2002-01-05
f4INT,1995-02-24
fLG1,1970-01-01
fLUYR,1991-12-09
fNS,1992-03-19
fOG,1997-01-12
fR1X,1970-01-01
fRESH,1998-03-28
fake,1992-11-24
fearoth,1996-06-12
feeqn,2000-08-18
feez,1997-06-11
fengF,1970-01-01
fields,1970-01-01
fiend,2001-02-23
filu,2004-11-28
fireSaiyajiN,1970-01-01
firstKnightOfNi,1992-04-20
fisker,1997-01-20
fit1nho,2000-02-08
fizzy,1970-01-01
flash,1970-01-01
flax,1970-01-01
flexx,1970-01-01
foDa,1993-04-20
foxie,1970-01-01
fr4nky,1970-01-01
fragstube,1970-01-01
frankie,1970-01-01
freeing,1970-01-01
frenezy,2000-11-01
frisco,1970-01-01
frizzNatsz,1970-01-01
frosT,1970-01-01
fross,1970-01-01
frostLi,1998-11-17
frosty,1970-01-01
fumiG,1970-01-01
fuzari,1997-04-05
fweshest,1970-01-01
fxde,1970-01-01
gAIS,1994-07-18
gANA,1997-06-17
gLYPH,2003-12-11
gMAN,1970-01-01
gODLIKE,1970-01-01
gRUBINHO,1970-01-01
gTFAFMX,1970-01-01
gaijin,1970-01-01
gaskin,1970-01-01
gatotowsky,1995-02-27
gatsH,1970-01-01
genghsta,1998-02-02
geo,1996-09-11
getGreedy,1992-12-21
gh0st,1970-01-01
ghost_(Indian_player),2003-10-04
gia,1970-01-01
gibo,1970-01-01
glacius,1970-01-01
glance,1970-01-01
goaster,1970-01-01
godDead,1970-01-01
goldenboy,1987-11-08
gonnak,1997-11-18
goodgrfn,1995-09-19
governor,1970-01-01
gray,1993-09-10
grego,1970-01-01
gromjkee,1992-06-01
guardy,2004-03-13
gucc107,1970-01-01
guishorro,1993-04-01
gunba,1970-01-01
h1ber,1970-01-01
hANN,1970-01-01
hITBOX,1990-01-28
haReeee,2001-09-25
halbae,2001-01-05
happy,1991-11-23
hariboe,2000-11-01
harmful,2001-11-27
harmon,2000-12-07
harry,1970-01-01
harshhh,1970-01-01
has1ra14,2002-03-12
hastad,1970-01-01
hate,2001-12-24
heiB,1970-01-01
helix,2000-12-25
hellFull,1998-11-05
hellff,1998-11-28
hellrangeR,1997-10-08
hetze,1970-01-01
highKitty,1997-03-02
hiko,1990-03-06
hiromi,1970-01-01
hoT_Chocol4tE,1999-02-04
honeybee,1998-12-01
hoppin,1998-03-31
horcus,1995-07-16
hsB,1970-01-01
huNtR,1970-01-01
hugstar,1970-01-01
hussaR_(Chilean_player),1995-07-19
huyz,1997-06-03
hyP,1996-02-07
hyouka,1996-12-25
hyperzxz,1970-01-01
iCE,1970-01-01
iHOLDSHIFT,1988-05-21
iNCRED,1993-11-07
iNFESTOR,1970-01-01
iNPA,1970-01-01
iain_Chambers,1970-01-01
ilustrado,1970-01-01
immi,1989-07-24
imppulse,2000-05-11
infamous,2002-09-12
infinite,1998-07-23
infrequeNt,1970-01-01
inicomz,1970-01-01
interro,1990-07-02
itopata,1970-01-01
itzzChrizZ,1997-11-02
ivory,1970-01-01
iyeN,1997-10-06
iyo,2000-05-21
izzy,2001-01-02
jDM,1990-05-20
jEROME,1989-07-08
jESMUND,1994-09-25
jKaplan,1988-06-17
jN3v1cEEE,1970-01-01
jP2,1996-07-10
jUIJUIS,1970-01-01
jUNiOR,1991-10-23
jUST_IN,2000-01-24
jady,2003-10-05
jaemin,1970-01-01
jamalismcast,1970-01-01
jamerson,1970-01-01
jamezIRL,1989-02-21
jamppi,2001-07-22
jangler,1970-01-01
jasper,1970-01-01
jax,1970-01-01
jaxsen,2002-01-28
jay_TB,1997-01-31
jazzyk1ns,2004-07-27
jbzz,1994-03-09
jdFaker,1970-01-01
jeong_Hi,1997-10-01
jerk,1970-01-01
jess,1995-11-15
jesse,1970-01-01
jessen,1970-01-01
jessieVash,1990-02-21
jeyj7y,1970-01-01
jhoW,1996-06-22
jianna,1970-01-01
jil,1970-01-01
jinNy,1991-03-09
jinboongE,2003-03-01
jinggg,1970-01-01
jinx,1996-01-18
jitko,1988-11-07
joXJo,1997-08-11
john_Allen,1995-04-20
johnOlsen,1998-05-20
johnnyP,1992-03-17
johnta,1987-06-07
joke,1970-01-01
jonaaa6,1998-10-23
jonahP,1970-01-01
jonn,1970-01-01
jonsyp,1997-02-03
jorisBE,1996-10-15
joseph,1970-01-01
joshRT,1970-01-01
joshS,1970-01-01
jotKa,1970-01-01
juju,1990-06-08
jupi,1996-11-14
justHarry,1998-03-24
k0bra,1970-01-01
k1te,1970-01-01
kEREME,1970-01-01
kEVHO,1997-11-04
kHaaLiD,1970-01-01
kOLER,1995-09-04
kP,1970-01-01
kQC3x,1970-01-01
kRAY,1995-04-19
kam1kaze,1983-09-22
kaminari,1998-06-13
kanpeki,1997-11-21
kant,1997-02-11
kapa,1970-01-01
kappA,1970-01-01
karahan,1970-01-01
karbon,1970-01-01
karl,1970-01-01
kaspe,2005-02-02
katti,1970-01-01
katu,1970-01-01
kawsoy,1970-01-01
kayros,1994-02-26
keglunneq,1999-04-17
kehmicals,2003-03-23
keiti,2001-05-02
kelevrA,1970-01-01
kelly,2001-07-19
kenzmPs,2001-03-19
khai,1970-01-01
khalil,2004-06-11
kheops,1994-08-30
kiXSTAr,1997-03-09
kickz,1997-06-28
kiiper0ne,1994-03-25
kiles,1997-08-26
killerS,1970-01-01
kilo,1970-01-01
kim,1993-01-29
king,2000-11-16
kipperman,1970-01-01
kirOW,1970-01-01
kirosZ,1970-01-01
kishi,2000-01-03
klaus,2001-04-04
klauss,1970-01-01
knightRider,1970-01-01
knightVoice,2000-09-09
knoxnetic/Knox,1970-01-01
kohaibi,2001-09-26
kohliii,2004-04-07
kongared,1970-01-01
korsonix,1970-01-01
kraizzzz,1970-01-01
kromex,1970-01-01
kryptix,1995-05-24
ksiaze,1997-09-14
kuba,1970-01-01
kuro,2001-06-06
kurt,1997-06-28
kuuKai,1970-01-01
kuzuur,1970-01-01
kwixy,2000-07-19
kyro,1970-01-01
l0NER,1970-01-01
l1NK,1998-08-08
l4cer,2002-05-11
lAMMYSNAX,1970-01-01
lATEKS,1997-05-07
lAVA,1970-01-01
lEGOO,1996-09-25
lEXY,1970-01-01
lRojo,1970-01-01
laAw,1995-02-17
lakers,1970-01-01
lakia,2000-12-24
lana,1998-06-29
larischz,1970-01-01
larryBanks,2005-11-09
laski,1996-12-11
lawrence,2001-03-15
laz,1995-11-26
le6lindre,1988-10-08
leX,1970-01-01
leaf_(Thai_player),1994-07-24
leahPanda,1970-01-01
lear,2002-09-03
leare,2003-11-21
leazo,1993-09-02
lee,1970-01-01
lelicious,1996-12-31
leo,2003-12-15
leobas,2001-07-28
leodeddz,1999-03-01
leon,1970-01-01
less,1970-01-01
letícia_Motta,1995-06-21
leviathanAG,2001-11-28
lewy,1970-01-01
liN,1988-05-26
life,1970-01-01
lightning,1999-06-11
lightningfast,1970-01-01
lilou,1970-01-01
linepro,1996-01-20
lionClaw,1998-06-04
liriLia,1970-01-01
lmemore,1970-01-01
loWkii,1996-03-25
locomotive,1970-01-01
lok1,2002-08-06
lorri,1970-01-01
lostMe,1970-01-01
lothar,1985-04-08
loupiote3,1970-01-01
luZ,1999-02-22
luc1d,2000-07-10
lucid,1970-01-01
lucius_Hellsing,1970-01-01
luna,1970-01-01
luoK1ng,1970-01-01
lutti,1970-01-01
luzuh,1998-06-21
lyhnj,1991-02-19
lynn,1970-01-01
m1st1ck,1997-09-19
m4CHINA,1995-03-09
mACHINERIS,1997-10-25
mAGiK,2003-08-06
mAKKA,1970-01-01
mARINOOZ,1998-10-04
mARIO,1996-02-29
mOLSI,1997-01-26
mORFAN,1970-01-01
mP,1999-05-31
mT1,1970-01-01
maKo,2002-01-15
maaatrix,1970-01-01
madara,1970-01-01
magic,1970-01-01
magnitude,1970-01-01
magnum,2001-08-09
magvayer,1999-07-29
maiko,1995-07-12
maka,1997-10-17
malex,2000-10-19
malix,1970-01-01
maniac,1990-06-29
maple,1970-01-01
marco,1999-12-09
marved,2000-02-24
marzil,1997-10-31
masterplay,1970-01-01
mavera,1996-12-08
maverick,1970-01-01
max0b,1995-10-07
maxic,1998-06-09
mazarini,1989-02-13
mazino,2001-06-29
meddo,1999-07-21
medusa,2001-01-25
meiy,2003-04-08
melio,2000-08-10
melser,1970-01-01
menace_(American_Player),1970-01-01
merQ,1970-01-01
meteor,1970-01-01
mickebwoy,1970-01-01
midnight,1997-08-05
miikasd,1970-01-01
mikaEl,2003-07-02
mikes,1999-01-18
milan,1998-03-07
miles,1970-01-01
milk_(Taiwanese_player),1996-07-02
miloshTheMedic,1993-12-21
miniBoo,2005-07-10
minty,2001-02-19
miracleXD,1970-01-01
mistic,2001-11-12
mitchMan,1998-01-11
mited,2001-12-19
mixes,1970-01-01
mixmeha,1997-10-27
mizu,1970-01-01
mkaeL,2000-03-23
mochiyx,1970-01-01
moe40,2001-05-12
moeAZack,1970-01-01
moechilla,1970-01-01
moh,1970-01-01
mono,1970-01-01
monstrum,2001-01-05
moon,1970-01-01
moonChopper,1970-01-01
moonblue,1995-07-31
moothie,1998-05-04
moove,1970-01-01
moreira,1990-12-03
morganCasts,2001-06-30
mowf,1970-01-01
muffyn,1970-01-01
muj,1970-01-01
munchkin,1998-03-27
muramasa,2002-01-08
myha,1970-01-01
mykoz,1970-01-01
n1CO,1970-01-01
n1KOLA,1999-12-13
nANO,1999-09-09
nANZIN,1970-01-01
nEEX,1996-11-17
nLaaeR,1998-08-04
nNNamia,1993-02-05
naThanD,1996-06-25
nagZ,2001-06-29
naint,1988-12-20
nakJi,1970-01-01
namin,1970-01-01
nanners,1970-01-01
naomi,1970-01-01
naoriMizuki,1993-08-25
nartzie,2001-08-08
naturE,1970-01-01
navarrete,2000-01-26
nbs,1990-08-13
ncSlasher,1970-01-01
near,1970-01-01
near_(Kuwaiti_player),1970-01-01
neekz,1970-01-01
negrazao,1970-01-01
neiker,2003-03-21
neit,2003-10-23
nelo,1970-01-01
neokinG,2000-01-27
neon,1970-01-01
nero,1970-01-01
ness,1970-01-01
newzera,1970-01-01
niSMO,1994-01-29
nick,2004-10-12
nicolas,1970-01-01
nicolino,1992-12-15
nikkoLAN,1970-01-01
ninou,1970-01-01
nirenu,1970-01-01
nitro,1970-01-01
nivera,2001-06-10
nizzy,2002-04-30
noeldayi,1970-01-01
noizeeh,1970-01-01
nomad,1993-08-08
noriseN,1997-05-25
norsin,1970-01-01
nosfeh,1989-11-28
nosyy,1970-01-01
nous,1997-05-11
nova,1970-01-01
novady,1992-10-04
nozwerr,1998-05-08
nozz,1970-01-01
npoint,1970-01-01
nuL,1985-03-14
nurfed,1970-01-01
nyang,1997-08-20
nycto,1970-01-01
obnoks,1970-01-01
oderus,1999-06-28
okin,2002-06-30
ondeflor,1970-01-01
onecuber,1998-02-22
oniBy,1999-02-17
onur,1970-01-01
oooDa,1987-03-28
ordnael,1993-06-21
osias,2002-12-12
othax,1997-01-13
ouTLaW,1970-01-01
p1nA2k4,2000-11-11
pAULTATO,1970-01-01
pEPA,1970-01-01
pHYRN,1996-08-16
pLAYER1,1995-02-04
pNUKH,1970-01-01
pOACH,1999-02-24
pPDBJ,1970-01-01
pPQueen,1970-01-01
pTC,1998-09-26
packing10,1970-01-01
padge,1998-12-27
paincakes,1970-01-01
panic,1970-01-01
pansy,1990-07-26
papasmurf,1970-01-01
paperthin,1970-01-01
parkJJong,2001-05-04
pase,1997-01-21
pashasahil,1970-01-01
patiphan,2003-09-03
pavane,1990-01-12
perelomslivki,1970-01-01
pernalonga,1970-01-01
persia,1998-05-15
petitSkel,1991-06-27
petra,1993-06-01
phatt,1998-03-13
pinOcChiOs,1998-04-11
pinecone,1995-05-02
pixelzz,1970-01-01
plaski,1970-01-01
poPiFresH,1997-08-27
pooh1Tap,1997-03-16
pr0phie,1994-09-23
precision,1970-01-01
presy,2000-07-24
pride,1970-01-01
proximal,1970-01-01
pryZee,1970-01-01
ptrip,1970-01-01
puckett,1986-05-07
puleule,1995-03-14
pureR,1970-01-01
purp0,1970-01-01
pythian,1970-01-01
quantum,2000-02-09
quick,1997-12-20
qutionerX,1970-01-01
rA3M0N,2000-04-28
rAINMAKER,1994-05-27
rAYZZ,1994-07-11
rECIDENT,1970-01-01
rENZ,1970-01-01
rESHURA,1970-01-01
rETO,1970-01-01
rHEA,1998-04-23
rIM,1993-11-17
rIPablo,2000-01-06
rOK3T,1991-10-14
rUBINO,1994-03-21
raex,1970-01-01
rafaaaa,1998-09-08
raiden,1970-01-01
rain_(Korean_player),1997-08-19
raina,1999-10-29
rainy,1995-09-06
ranger,1970-01-01
raptorZ,1991-09-20
rarkar,1970-01-01
rasLGhoul,1995-03-21
rawfiul,1970-01-01
rawkus,1994-06-16
rb,2001-12-07
reality,1970-01-01
rebo,2000-06-27
rebounter,1997-10-14
redgar,1997-10-17
redneval,2000-09-02
reecha,1970-01-01
reflections,1991-11-06
reformed,2003-07-30
reita,1994-11-12
rejante,1999-10-18
relyks,1995-01-12
reptile,1995-12-28
retla,1970-01-01
rexus,1970-01-01
rexy,1970-01-01
rheat,2001-06-02
rHZ,1970-01-01
rias,1970-01-01
rillion,1995-04-14
rip,1998-02-09
ritha,1970-01-01
rivington,1984-12-12
rkT,1986-05-03
rockeT,2002-02-20
rossy,1970-01-01
russ,1998-01-17
rustic0,1970-01-01
rustun,1997-09-28
rvK,2000-11-18
ryZzi,1999-11-21
ryanCentral,1992-12-20
sAFA,1996-08-20
sEIDER,2001-07-10
sENNA,1995-03-20
sHEYDON,2002-03-09
sN0KEER,2000-06-02
sSSami,1970-01-01
sTABA,1970-01-01
sTERBEN,1970-01-01
sUTHER,1970-01-01
sUYGETSU,2002-07-16
saadhak,1997-03-08
sacake,1970-01-01
sacy,1997-12-02
sak,1970-01-01
salah,2000-09-10
salty_Jayy,1998-08-03
salvestro,1970-01-01
samuraiDeeper,1995-06-05
sancho,1997-12-09
sand,2002-07-15
sankala,1970-01-01
sasuKe,1970-01-01
sayf,2001-01-01
scargod,2000-02-24
schooled,1970-01-01
screaM,1994-07-02
screwFace,1970-01-01
scrounge,2002-12-21
secret,2004-05-17
sef,1970-01-01
senhoachic,1970-01-01
sentinal,1970-01-01
senyorCarL,1970-01-01
sh0ckwave,1998-04-03
shadoW,1970-01-01
shahZaM,1993-10-08
shanks,1970-01-01
shao,2000-01-27
sharkyy,2000-10-16
